"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2018","74.65","73.98","75.12","71.21","28.13M","1.79%"
"Dec 23, 2018","73.34","71.40","74.46","68.08","33.77M","1.34%"
"Dec 16, 2018","72.37","71.37","74.29","66.53","69.58M","-0.22%"
"Dec 09, 2018","72.53","73.10","75.28","70.61","36.66M","-1.10%"
"Dec 02, 2018","73.34","77.10","79.00","72.87","34.84M","-2.37%"
"Nov 25, 2018","75.12","72.34","75.48","71.30","31.02M","5.08%"
"Nov 18, 2018","71.49","74.69","74.75","69.52","25.71M","-4.35%"
"Nov 11, 2018","74.74","76.35","77.49","72.89","33.70M","-2.12%"
"Nov 04, 2018","76.36","76.49","78.23","75.53","29.13M","-0.29%"
"Oct 28, 2018","76.58","73.26","78.59","71.39","41.21M","6.26%"
"Oct 21, 2018","72.07","74.65","75.21","70.69","42.82M","-2.88%"
"Oct 14, 2018","74.21","75.77","77.80","74.14","35.27M","-2.24%"
"Oct 07, 2018","75.91","80.04","81.49","73.90","50.61M","-5.25%"
"Sep 30, 2018","80.12","85.10","85.85","79.43","42.55M","-5.43%"
"Sep 23, 2018","84.72","85.16","85.27","81.95","49.18M","-0.97%"
"Sep 16, 2018","85.55","83.49","86.04","82.94","40.66M","2.47%"
"Sep 09, 2018","83.49","81.39","83.90","81.22","29.78M","3.97%"
"Sep 02, 2018","80.30","79.39","81.16","79.00","46.05M","-2.31%"
"Aug 26, 2018","82.20","83.04","83.63","81.01","25.81M","-0.30%"
"Aug 19, 2018","82.45","81.52","83.68","80.95","27.60M","3.39%"
"Aug 12, 2018","79.75","80.82","81.14","79.12","29.72M","-1.21%"
"Aug 05, 2018","80.73","78.74","81.88","78.43","24.62M","2.53%"
"Jul 29, 2018","78.74","76.88","79.07","75.43","31.50M","2.41%"
"Jul 22, 2018","76.89","76.71","78.44","75.06","28.71M","-0.09%"
"Jul 15, 2018","76.96","77.36","78.09","75.80","25.34M","-0.54%"
"Jul 08, 2018","77.38","76.84","78.18","76.34","22.65M","1.18%"
"Jul 01, 2018","76.48","78.58","79.48","76.07","30.13M","-4.02%"
"Jun 24, 2018","79.68","73.32","81.00","71.15","64.30M","8.51%"
"Jun 17, 2018","73.43","75.28","75.76","73.21","31.64M","-3.18%"
"Jun 10, 2018","75.84","75.06","75.85","73.99","29.57M","1.25%"
"Jun 03, 2018","74.90","73.00","75.91","72.79","27.20M","2.94%"
"May 27, 2018","72.76","71.52","72.95","70.43","23.60M","0.71%"
"May 20, 2018","72.25","71.48","73.49","70.71","29.47M","1.30%"
"May 13, 2018","71.32","68.60","71.60","68.11","29.94M","4.22%"
"May 06, 2018","68.43","68.06","69.42","67.00","28.64M","0.48%"
"Apr 29, 2018","68.10","69.58","69.81","66.64","28.48M","-2.10%"
"Apr 22, 2018","69.56","66.00","70.00","65.95","32.87M","5.25%"
"Apr 15, 2018","66.09","67.81","67.98","64.99","38.15M","-1.72%"
"Apr 08, 2018","67.25","68.39","68.55","66.49","31.52M","-0.44%"
"Apr 01, 2018","67.55","65.97","69.78","63.21","50.24M","1.67%"
"Mar 25, 2018","66.44","65.08","67.64","64.99","38.21M","2.80%"
"Mar 18, 2018","64.63","65.70","67.22","64.23","49.62M","-1.94%"
"Mar 11, 2018","65.91","66.65","67.69","65.67","37.28M","-0.59%"
"Mar 04, 2018","66.30","65.48","66.51","63.89","33.26M","0.62%"
"Feb 25, 2018","65.89","68.39","70.25","64.21","35.14M","-3.33%"
"Feb 18, 2018","68.16","67.64","68.16","66.74","20.91M","-0.20%"
"Feb 11, 2018","68.30","65.94","69.00","65.43","42.23M","4.29%"
"Feb 04, 2018","65.49","66.63","67.21","62.09","62.61M","-2.57%"
"Jan 28, 2018","67.22","67.82","68.83","66.70","37.59M","-1.21%"
"Jan 21, 2018","68.04","66.55","68.64","65.76","34.32M","1.23%"
"Jan 14, 2018","67.21","64.78","67.24","63.08","35.09M","3.93%"
"Jan 07, 2018","64.67","64.15","64.72","63.44","35.93M","1.08%"
