"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2019","290.05","291.52","293.20","288.70","-","-0.72%"
"Dec 22, 2019","292.15","291.30","294.90","290.70","-","0.29%"
"Dec 15, 2019","291.30","280.00","292.00","278.60","-","4.74%"
"Dec 08, 2019","278.12","278.55","282.60","269.20","-","-0.52%"
"Dec 01, 2019","279.57","283.60","288.25","274.10","-","-1.47%"
"Nov 24, 2019","283.73","275.25","286.65","273.85","-","3.74%"
"Nov 17, 2019","273.50","271.20","276.25","267.95","-","2.35%"
"Nov 10, 2019","267.23","272.00","272.00","264.20","-","-1.37%"
"Nov 03, 2019","270.93","281.05","287.20","266.50","-","-3.31%"
"Oct 27, 2019","280.20","275.15","280.90","271.55","-","1.92%"
"Oct 20, 2019","274.93","281.85","282.70","270.45","-","-2.44%"
"Oct 13, 2019","281.80","279.00","288.25","278.00","-","0.97%"
"Oct 06, 2019","279.10","270.70","281.15","269.80","-","3.10%"
"Sep 29, 2019","270.70","285.10","288.95","265.85","-","-5.23%"
"Sep 22, 2019","285.65","273.90","285.70","269.20","-","3.67%"
"Sep 15, 2019","275.55","271.45","277.00","266.90","-","0.78%"
"Sep 08, 2019","273.43","279.35","280.20","266.30","-","-2.12%"
"Sep 01, 2019","279.35","271.00","280.00","267.15","-","3.08%"
"Aug 25, 2019","271.00","261.18","271.80","259.45","-","4.09%"
"Aug 18, 2019","260.35","261.15","266.05","257.95","-","1.05%"
"Aug 11, 2019","257.65","261.30","263.95","253.20","-","-1.13%"
"Aug 04, 2019","260.60","275.00","277.35","254.00","-","-6.84%"
"Jul 28, 2019","279.73","288.60","296.40","279.00","-","-3.07%"
"Jul 21, 2019","288.60","279.00","289.00","278.80","-","3.50%"
"Jul 14, 2019","278.85","277.35","283.09","178.90","-","1.19%"
"Jul 07, 2019","275.57","276.05","283.10","275.45","-","-0.15%"
"Jun 30, 2019","275.98","273.99","280.50","269.66","-","1.88%"
"Jun 23, 2019","270.90","268.80","275.59","262.45","-","0.98%"
"Jun 16, 2019","268.27","260.31","274.85","259.34","-","2.86%"
"Jun 09, 2019","260.82","267.25","268.35","254.50","-","-1.90%"
"Jun 02, 2019","265.88","255.65","266.25","254.75","-","4.00%"
"May 26, 2019","255.65","263.35","265.05","251.62","-","-1.49%"
"May 19, 2019","259.52","255.78","264.55","250.69","-","1.46%"
"May 12, 2019","255.78","252.10","255.85","244.35","-","1.75%"
"May 05, 2019","251.38","253.57","256.38","247.90","-","1.58%"
"Apr 28, 2019","247.47","229.45","247.47","225.25","-","8.42%"
"Apr 21, 2019","228.25","231.10","232.34","227.45","-","-1.24%"
"Apr 14, 2019","231.12","225.17","232.10","224.45","-","2.31%"
"Apr 07, 2019","225.90","227.60","227.70","224.05","-","-0.44%"
"Mar 31, 2019","226.90","217.24","228.32","216.60","-","4.88%"
"Mar 24, 2019","216.35","209.70","217.80","209.70","-","3.47%"
"Mar 17, 2019","209.10","212.20","214.40","206.40","-","-1.90%"
"Mar 10, 2019","213.15","212.25","215.50","197.50","-","1.19%"
"Mar 03, 2019","210.65","217.10","219.85","209.50","-","-2.97%"
"Feb 24, 2019","217.10","205.40","218.30","205.40","-","6.60%"
"Feb 17, 2019","203.65","198.32","204.40","197.12","-","2.69%"
"Feb 10, 2019","198.32","198.30","202.68","194.85","-","-0.18%"
"Feb 03, 2019","198.68","199.30","203.60","195.00","-","-0.20%"
"Jan 27, 2019","199.07","203.50","207.40","197.66","-","-2.39%"
"Jan 20, 2019","203.95","203.50","208.29","200.20","-","0.42%"
"Jan 13, 2019","203.10","195.00","205.00","195.00","-","3.40%"
"Jan 06, 2019","196.43","189.46","198.15","189.25","-","3.17%"
